Creative Commons CC-BY Japan, v2.0	http://purl.org/NET/rdflicense/cc-by2.0jp
Creative Commons CC-BY Korea, v2.0	http://purl.org/NET/rdflicense/cc-by2.0kr
Creative Commons CC-BY Luxemburg, v3.0	http://purl.org/NET/rdflicense/cc-by3.0lu
Creative Commons CC-BY Mexico, v2.5	http://purl.org/NET/rdflicense/cc-by2.5mx
Creative Commons CC-BY Netherlands, v2.0	http://purl.org/NET/rdflicense/cc-by2.0nl
Creative Commons CC-BY New Zealand, v3.0	http://purl.org/NET/rdflicense/cc-by3.0nz
Creative Commons CC-BY Portugal, v3.0	http://purl.org/NET/rdflicense/cc-by3.0pt
Creative Commons CC-BY Scotland, v2.5	http://purl.org/NET/rdflicense/cc-by2.5scotland
Creative Commons CC-BY South Africa, v2.0	http://purl.org/NET/rdflicense/cc-by2.0za
Creative Commons CC-BY Spain, v2.0	http://purl.org/NET/rdflicense/cc-by2.0es
Creative Commons CC-BY Switzerland, v2.5	http://purl.org/NET/rdflicense/cc-by2.5ch
Creative Commons CC-BY Thailand, v3.0	http://purl.org/NET/rdflicense/cc-by3.0th
Creative Commons CC-BY United States, v3.0	http://purl.org/NET/rdflicense/cc-by3.0us
Creative Commons CC-BY Venezuela, v3.0	http://purl.org/NET/rdflicense/cc-by3.0ve
Creative Commons CC-BY, v1.0	http://purl.org/NET/rdflicense/cc-by1.0
Creative Commons CC-BY, v2.0	http://purl.org/NET/rdflicense/cc-by2.0
Creative Commons CC-BY, v3.0	http://purl.org/NET/rdflicense/cc-by3.0
Creative Commons CC-BY-NC, v2.0	http://purl.org/NET/rdflicense/cc-by-nc2.0
Creative Commons CC-BY-NC, v3.0	http://purl.org/NET/rdflicense/cc-by-nc3.0
Creative Commons CC-BY-NC-ND Australia, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0au
Creative Commons CC-BY-NC-ND Austria, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0at
Creative Commons CC-BY-NC-ND Brazil, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0br
Creative Commons CC-BY-NC-ND Chile, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0cl
Creative Commons CC-BY-NC-ND China, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0cn
Creative Commons CC-BY-NC-ND Ecuador, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0ec
Creative Commons CC-BY-NC-ND France, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0fr
Creative Commons CC-BY-NC-ND Germany, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0de
Creative Commons CC-BY-NC-ND Greece, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0gr
Creative Commons CC-BY-NC-ND Ireland, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0ie
Creative Commons CC-BY-NC-ND Italy, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0it
Creative Commons CC-BY-NC-ND Netherlands, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0nl
Creative Commons CC-BY-NC-ND Portugal, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0pt
Creative Commons CC-BY-NC-ND Romania, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0ro
Creative Commons CC-BY-NC-ND Spain, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0es
Creative Commons CC-BY-NC-ND Switzerland, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0ch
Creative Commons CC-BY-NC-ND Venezuela, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0ve
Creative Commons CC-BY-NC-ND, v2.0	http://purl.org/NET/rdflicense/cc-by-nc-nd2.0
Creative Commons CC-BY-NC-ND, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-nd3.0
Creative Commons CC-BY-NC-SA, v2.0	http://purl.org/NET/rdflicense/cc-by-nc-sa2.0
